year,region,educ,educ_count,educ_share
2012,Midwest,Less than high school,4195804.771222432,0.0951057008792675
2012,Midwest,Advanced,4537604.383088429,0.10285322332591042
2013,South,College,14636318.035223642,0.19009884257535015
2013,South,High school,23957599.905059814,0.3111651442579219
2013,South,Advanced,7890273.019610087,0.1024801295668533
2013,South,Some college,20357656.768051147,0.2644085062813841
2013,South,Less than high school,10151351.372792562,0.13184737731849042
2013,West,Some college,13871527.284770966,0.2897814760871217
2013,West,High school,11789446.616255442,0.24628601974200218
2013,West,College,10232082.795347849,0.21375209773308668
2013,West,Advanced,5630825.44990031,0.11763008333281623
2013,West,Less than high school,6345041.2648289995,0.13255032310497333
2013,Northeast,Advanced,5398841.582158406,0.1434417802498484
2013,Northeast,College,8201754.66635259,0.21791235631029082
2013,Northeast,High school,11863464.023272196,0.31520028390013666
2013,Northeast,Some college,8292318.55545934,0.22031854757968322
2013,Northeast,Less than high school,3881480.7472457886,0.1031270319600409
2013,Midwest,College,8719256.57740275,0.19664455740219694
2013,Midwest,Some college,12527812.37284851,0.28253855101146536
2013,Midwest,Advanced,4743271.83241272,0.10697455475050907
2013,Midwest,High school,14317515.782859802,0.3229015603825815
2013,Midwest,Less than high school,4032331.093823751,0.09094077645324712
2014,South,College,15054106.468669891,0.19289828506230736
2014,South,Less than high school,10136250.44971466,0.12988252293692976
2014,South,Advanced,8429017.93359375,0.10800661650251558
2014,South,High school,23695651.26019287,0.30362814963733714
2014,South,Some college,20726655.097215015,0.26558442586091024
2014,West,Some college,13842144.644071579,0.28568928064984234
2014,West,High school,12040945.858996073,0.2485141753141254
2014,West,College,10442666.69852384,0.21552714654264762
2014,West,Less than high school,6241726.118698756,0.1288235523263442
2014,West,Advanced,5884263.320625305,0.12144584516704052
2014,Northeast,Some college,8358653.679658254,0.21982617124936946
2014,Northeast,College,8377002.884981791,0.22030874125481878
2014,Northeast,High school,11918031.721289316,0.3134350796821957
2014,Northeast,Advanced,5516960.647580464,0.1450918272930097
2014,Northeast,Less than high school,3853275.2978604636,0.10133818052060645
2014,Midwest,College,8715196.612821579,0.1948971115629227
2014,Midwest,Some college,12779167.497792562,0.2857793052923684
2014,Midwest,Advanced,4918111.918183644,0.10998326828186737
2014,Midwest,High school,14401524.42396164,0.3220599186716787
2014,Midwest,Less than high school,3902909.6283213296,0.08728039619116279
2015,South,Less than high school,10134308.170238495,0.12773757451966306
2015,South,High school,23721228.666662853,0.29899349453417157
2015,South,College,15545600.437760672,0.1959440408772007
2015,South,Some college,21035950.319266003,0.26514698648994556
2015,South,Advanced,8899851.504430136,0.11217790357901915
2015,West,Some college,14050823.374444326,0.2838126772518172
2015,West,High school,12230923.141984304,0.24705250003365398
2015,West,Advanced,6044291.040807088,0.12208867599180633
2015,West,Less than high school,6392295.522590637,0.12911802089484312
2015,West,College,10789051.546187082,0.2179281258278795
2015,Northeast,High school,11538717.872394562,0.30155759105744845
2015,Northeast,Less than high school,3787683.3218866987,0.09898887128259354
2015,Northeast,Some college,8367321.394617717,0.21867501322664176
2015,Northeast,Advanced,5858445.033208211,0.1531070081697142
2015,Northeast,College,8711561.14669164,0.22767151626360208
2015,Midwest,Less than high school,3849233.567604065,0.08534330073298574
2015,Midwest,High school,14218812.365387598,0.31525246739456614
2015,Midwest,Some college,12833602.369627634,0.28454027724808334
2015,Midwest,Advanced,5146898.450130463,0.1141144839763603
2015,Midwest,College,9054390.84802564,0.20074947064800452
2016,South,Some college,21542123.78805415,0.2668549554291488
2016,South,Less than high school,9758152.326634726,0.12087997125144032
2016,South,Advanced,9396488.813779196,0.11639983263776607
2016,South,High school,23938010.075581867,0.296534207798224
2016,South,College,16091189.980976105,0.19933103288342083
2016,West,Some college,14410618.898373922,0.28534998014178614
2016,West,High school,12332120.206293741,0.24419286088879327
2016,West,College,11174561.90964508,0.22127162209321824
2016,West,Less than high school,6199006.403383891,0.12274881228758312
2016,West,Advanced,6385251.724566142,0.12643672458861918
2016,Northeast,Less than high school,3686499.784172058,0.09554326174098933
2016,Northeast,High school,11428891.413927713,0.2962033440117182
2016,Northeast,Some college,8485894.617387136,0.21992949898342679
2016,Northeast,Advanced,6165988.577838898,0.159804338823994
2016,Northeast,College,8817338.660453796,0.22851955643987165
2016,Midwest,High school,14327852.29011027,0.3163513538053971
2016,Midwest,Some college,12756012.261675516,0.28164596245347234
